,Id
0,39EHxSQAIaWusRqSI9xoyF
1,4tN3rZ7cChj4Wns2Wt2Nj6
2,4HsOm6VNKZtGh8W8GhdNu4
3,3LsQKoRgMc8VEkQn66jfAQ
4,5KCG0FDMDPzQpxcohGUnyH
5,5abblGojcZoe3zZBhJFBUi
6,0oBPg2seHzVcAIOpdi1Ojj
7,4CwN7lHeOBgAcyk7nNKSTJ
8,6n4LC99DYefuU6icCPk1zU
9,6pOCEbvtPkErkz3884ikYF
10,1BYnP5HY7Ci0MFEHiDV1Ww
11,6GW4TcHaVpWHrLp5tvLr6c
12,5F1DQTsRoDRmlMWeQGi6jz
13,6bMul6rmRS03x38tWKYifO
14,0Qh5UGy4Y1hrZlClkIP7oG
15,3w8DTEOpDhhdrOaJPOpSDD
16,51kPCmCJ7rXClxKDc2r4RA
17,5fJyMNVZGDGxsAxNLgoM7T
18,2HIUtL0x7DtEU9cuQuO3Gn
19,733SPLVnEyXs6GxUEnJ7bx
20,6soPpJHlCtN6SY8pWlfbC6
21,287576k08xwYGvRgcJSTRr
22,4EbEUPsgjjmNsKjigP3R4u
23,2NxTSd8rNDFhTQYDeb7pGj
24,6bdOuFTmkGliFvCkdpH49Z
25,3TTbkikkCAbUg2j5i9UrTV
26,1mmehjf7eHA10uHMisZGJg
27,0bw7sLDsNQTScMpmsNFukJ
28,71WhWdsVNTLxsnfe8M3Peh
29,7zug34wHklQjAqvDHAhqJ3
30,3ZZHB1Xh2PM88QTMiqHB62
31,1h2OVSKRdJHnVqyCKqCLkf
32,0jsnWH4QCKcAMpR7vEhh9u
33,6wBUn8gMP85n8dPu6LoUcF
34,0kVQBzHzHP111Qt5rU7F0d
35,5RzauMZQELIuit9D6Y2KKd
36,5PwgSnrvg48DYvdsf2Y2ZD
37,2cez574BwRD00PGEbNl4SH
38,2PT695UML2m3qBDsamIcB3
39,65G4aNkO6vIIjedSCXWz1H
40,4ModzyKIw50HWjKU3Goix1
41,1bDWGdIC2hardyt55nlQgG
42,5PoJhiT21fXvZitg3guhiJ
43,364a8dI437V95M5BznmoeO
44,3eJj0UlMwsdztq6689iu0X
45,6oLTIy8xJUYOLHDcDmuQPl
